x,y,CLIMATE_IDENTIFIER,STATION_NAME,STN_ID,ID,SOURCE,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.3.9,DLY02,2009-03-09 00:00:00,NS,2009,3,9,-3.3,,-5.9,,-0.6,,0.4,,,M,,M,,,31,,37,,0,,21.3,,65,,99,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.3.10,DLY02,2009-03-10 00:00:00,NS,2009,3,10,-7.1,,-11.9,,-2.3,,0,,,M,,M,,,36,,44,,0,,25.1,,63,,96,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.3.11,DLY02,2009-03-11 00:00:00,NS,2009,3,11,-4.2,,-12.6,,4.3,,3.1,,,M,,M,,,18,,52,,0,,22.2,,41,,100,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.3.12,DLY02,2009-03-12 00:00:00,NS,2009,3,12,-3,,-10.4,,4.5,,2.2,,,M,,M,,,30,,70,,0,,21,,52,,99,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.3.13,DLY02,2009-03-13 00:00:00,NS,2009,3,13,-10.9,,-13.7,,-8,,0,,,M,,M,,,26,,56,,0,,28.9,,46,,80,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.3.14,DLY02,2009-03-14 00:00:00,NS,2009,3,14,-5.5,,-13.2,,2.2,,0,,,M,,M,,,23,,52,,0,,23.5,,44,,93,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.3.15,DLY02,2009-03-15 00:00:00,NS,2009,3,15,-3.7,,-9.6,,2.3,,0,,,M,,M,,,33,,37,,0,,21.7,,57,,93,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.3.16,DLY02,2009-03-16 00:00:00,NS,2009,3,16,-6.6,,-10.8,,-2.4,,,M,,M,,M,,,0,,0,,0,,24.6,,,,,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.3.17,DLY02,2009-03-17 00:00:00,NS,2009,3,17,-5.9,,-11.2,,-0.5,,0.3,,,M,,M,,,2,,32,,0,,23.9,,48,,92,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.3.18,DLY02,2009-03-18 00:00:00,NS,2009,3,18,-1.6,,-10.1,,7,,0.9,,,M,,M,,,19,,50,,0,,19.6,,33,,94,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.3.19,DLY02,2009-03-19 00:00:00,NS,2009,3,19,1.4,,-1.7,,4.4,,1.6,,,M,,M,,,20,,43,,0,,16.6,,80,,97,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.3.20,DLY02,2009-03-20 00:00:00,NS,2009,3,20,-3.7,,-5.7,,-1.7,,0.2,,,M,,M,,,34,,39,,0,,21.7,,65,,84,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.3.21,DLY02,2009-03-21 00:00:00,NS,2009,3,21,-4.5,,-6.8,,-2.1,,0,,,M,,M,,,35,,50,,0,,22.5,,69,,87,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.3.22,DLY02,2009-03-22 00:00:00,NS,2009,3,22,-3.1,,-10.7,,4.5,,0,,,M,,M,,,18,,32,,0,,21.1,,23,,94,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.3.23,DLY02,2009-03-23 00:00:00,NS,2009,3,23,0.4,,-2.3,,3.1,,0,,,M,,M,,,7,,44,,0,,17.6,,68,,95,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.3.24,DLY02,2009-03-24 00:00:00,NS,2009,3,24,-1.5,,-2.4,,-0.6,,0.8,,,M,,M,,,1,,69,,0,,19.5,,84,,96,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.3.25,DLY02,2009-03-25 00:00:00,NS,2009,3,25,-1.7,,-2.3,,-1.1,,0,,,M,,M,,,2,,69,,0,,19.7,,,,,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.3.26,DLY02,2009-03-26 00:00:00,NS,2009,3,26,-0.7,,-2.4,,1,,0.6,,,M,,M,,,32,,50,,0,,18.7,,,,,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.3.27,DLY02,2009-03-27 00:00:00,NS,2009,3,27,1.5,,-3.1,,6.1,,0.8,,,M,,M,,,0,,0,,0,,16.5,,72,,99,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.3.28,DLY02,2009-03-28 00:00:00,NS,2009,3,28,4,,-3.7,,11.6,,1.2,,,M,,M,,,31,,32,,0,,14,,48,,99,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.3.29,DLY02,2009-03-29 00:00:00,NS,2009,3,29,3.8,,-2.2,,9.8,,0.3,,,M,,M,,,0,,0,,0,,14.2,,56,,100,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.3.30,DLY02,2009-03-30 00:00:00,NS,2009,3,30,-1.4,,-2.2,,-0.6,,11,,,M,,M,,,7,,61,,0,,19.4,,,,,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.3.31,DLY02,2009-03-31 00:00:00,NS,2009,3,31,-1.1,,-2.9,,0.7,,5,,,M,,M,,,3,,46,,0,,19.1,,76,,100,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.4.1,DLY02,2009-04-01 00:00:00,NS,2009,4,1,-1.4,,-4.7,,2,,0.2,,,M,,M,,,0,,0,,0,,19.4,,62,,99,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.4.2,DLY02,2009-04-02 00:00:00,NS,2009,4,2,2,,-3.2,,7.1,,0,,,M,,M,,,22,,41,,0,,16,,68,,99,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.4.3,DLY02,2009-04-03 00:00:00,NS,2009,4,3,8.1,,2.5,,13.7,,1.3,,,M,,M,,,15,,35,,0,,9.9,,40,,99,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.4.4,DLY02,2009-04-04 00:00:00,NS,2009,4,4,5.5,,1.5,,9.4,,17.3,,,M,,M,,,14,,61,,0,,12.5,,97,,100,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.4.5,DLY02,2009-04-05 00:00:00,NS,2009,4,5,5.3,,0.3,,10.2,,1,,,M,,M,,,19,,35,,0,,12.7,,77,,100,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.4.6,DLY02,2009-04-06 00:00:00,NS,2009,4,6,2.6,,-2.1,,7.3,,0.6,,,M,,M,,,24,,33,,0,,15.4,,74,,100,
